tweet_id,text,author_id,created_at,place_id,like_count,quote_count,reply_count,retweet_count,conversation_id,in_reply_to_user_id
1223771119121027072,Happy New Year!! Lol... https://t.co/fNhdk9C9zP,3759834317,2020-02-02T00:52:26.000Z,c471d9c15056ca6c,1,0,0,0,1223771119121027072,N/A
1223770559399546880,"Back again! Happy lunar new year concert with the @sfsymphony !

...
#sanfrancisco #alicehana #daviessymphonyhall #sfsymphony @ Davies Symphony Hall https://t.co/7w5doIBTEy",16366160,2020-02-02T00:50:12.000Z,5a110d312052166f,2,0,0,0,1223770559399546880,N/A
1223769992312840195,Happy Chinese New Year from Luke and Sarah🎉😍🏮🧧 thank you amynorr for these amazing pictures! @ Paradise Valley High School https://t.co/5Bm0l5ymSN,301591184,2020-02-02T00:47:57.000Z,5c62ffb0f0f3479d,0,0,0,0,1223769992312840195,N/A
1223769785181376512,Happy New Year! We went and enjoyed the new year festivities at Vietopia! Delicious food and blessings of happiness and good luck in the new year! 🧧🎊 #YearOfTheRat2020 https://t.co/8tdhbXPtMR,3937253058,2020-02-02T00:47:07.000Z,07d9db51b3488000,2,0,0,0,1223769785181376512,N/A
1223766751185227776,Lunar New Year parade in Chinatown 🐉 https://t.co/EJzLGtQlvS,38034435,2020-02-02T00:35:04.000Z,3b77caf94bfc81fe,3,0,1,0,1223766751185227776,N/A
1223766162921721857,Happy New Year’s everyone! We made it thru January now we can actually enjoy the year 🥳 lmao,2465058188,2020-02-02T00:32:44.000Z,1d9a5370a355ab0c,6,0,0,0,1223766162921721857,N/A
1223765341538607106,Happy New year babies ✨🍾,2935535298,2020-02-02T00:29:28.000Z,1c69a67ad480e1b1,0,0,0,0,1223765341538607106,N/A
1223764335580729344,"lunar new year procession at Cal Adventures was chaotic. Amidst fan dances and drummers and a Mulan soundtrack remix, you have chip and dale wearing silk vests and getting their groove on? What are they doing hereee?",1121969302351908864,2020-02-02T00:25:28.000Z,0c2e6999105f8070,3,0,0,0,1223764335580729344,N/A
1223763206629400576,I’m celebrating the Lunar New Year with the National Assocation of Chinese Americans (NACA). Happy year of the Rat.,49782398,2020-02-02T00:20:59.000Z,0fc343225f155000,1,0,0,0,1223763206629400576,N/A
1223762893159616512,At the Lunar New Year celebration parade! Joy and Unity! #ChineseNewYear #LunarNewYear #LosAngeles #Unity #LGBTQ https://t.co/jBraa16Enf,1954815924,2020-02-02T00:19:44.000Z,103ce3dca814f000,4,0,0,0,1223762893159616512,N/A
1223760384936632320,"So Chinese people have many ways to scare away evil spirits for good luck in the new year... the lion and dragon dances are said to scare off spirits, also the fire crackers and the banging of gongs and drums. All… https://t.co/2HrFQYWKpc",169166923,2020-02-02T00:09:46.000Z,3b77caf94bfc81fe,0,0,0,0,1223760384936632320,N/A
1223787512268759040,Happy New Year! 🥳🥳🥳 https://t.co/aRwq1djhd8,51254984,2020-02-02T01:57:34.000Z,24a53a1880093fa9,1,0,0,0,1223787512268759040,N/A
1223786557401960449,Today the 1st day in MY 2020 Happy New Year,285308343,2020-02-02T01:53:46.000Z,9f4583bf6dae13c4,0,0,0,0,1223786557401960449,N/A
